ds,btc_price,unique_id
2026-03-05 15:30:00,71475.41,BTC
2026-03-05 15:45:00,71670.39,BTC
2026-03-05 16:00:00,71024.37,BTC
2026-03-05 16:15:00,71003.55,BTC
2026-03-05 16:30:00,71350.01,BTC
2026-03-05 16:45:00,71321.88,BTC
2026-03-05 17:00:00,71177.38,BTC
2026-03-05 17:15:00,70934.93,BTC
2026-03-05 17:30:00,70873.05,BTC
2026-03-05 17:45:00,70702.39,BTC
2026-03-05 18:00:00,71031.95,BTC
2026-03-05 18:15:00,70811.52,BTC
2026-03-05 18:30:00,70943.83,BTC
2026-03-05 18:45:00,70996.0,BTC
2026-03-05 19:00:00,71359.02,BTC
2026-03-05 19:15:00,71103.72,BTC
2026-03-05 19:30:00,71012.0,BTC
2026-03-05 19:45:00,70910.88,BTC
2026-03-05 20:00:00,71074.02,BTC
