ds,btc_price,unique_id
2026-03-04 12:15:00,70638.76,BTC
2026-03-04 12:30:00,70974.9,BTC
2026-03-04 12:45:00,71350.01,BTC
2026-03-04 13:00:00,71304.22,BTC
2026-03-04 13:15:00,71361.28,BTC
2026-03-04 13:30:00,71444.01,BTC
2026-03-04 13:45:00,71487.91,BTC
2026-03-04 14:00:00,71807.18,BTC
2026-03-04 14:15:00,71752.4,BTC
2026-03-04 14:30:00,71434.09,BTC
2026-03-04 14:45:00,71652.58,BTC
2026-03-04 15:00:00,72020.63,BTC
2026-03-04 15:15:00,73008.0,BTC
2026-03-04 15:30:00,72734.02,BTC
2026-03-04 15:45:00,73428.0,BTC
2026-03-04 16:00:00,72885.12,BTC
2026-03-04 16:15:00,73002.01,BTC
2026-03-04 16:30:00,73200.01,BTC
2026-03-04 16:45:00,73349.61,BTC
2026-03-04 17:00:00,73601.87,BTC
2026-03-04 17:15:00,73109.97,BTC
2026-03-04 17:30:00,73189.05,BTC
2026-03-04 17:45:00,73256.95,BTC
2026-03-04 18:00:00,73086.1,BTC
2026-03-04 18:15:00,73461.63,BTC
2026-03-04 18:30:00,73561.41,BTC
2026-03-04 18:45:00,73734.91,BTC
2026-03-04 19:00:00,73931.41,BTC
2026-03-04 19:15:00,73622.35,BTC
2026-03-04 19:30:00,73765.44,BTC
2026-03-04 19:45:00,73673.05,BTC
2026-03-04 20:00:00,73478.9,BTC
2026-03-04 20:15:00,73524.23,BTC
2026-03-04 20:30:00,73540.7,BTC
2026-03-04 20:45:00,73077.92,BTC
2026-03-04 21:00:00,73093.08,BTC
2026-03-04 21:15:00,73195.6,BTC
2026-03-04 21:30:00,73277.5,BTC
2026-03-04 21:45:00,73348.33,BTC
2026-03-04 22:00:00,73277.98,BTC
2026-03-04 22:15:00,73293.45,BTC
2026-03-04 22:30:00,72923.44,BTC
2026-03-04 22:45:00,72721.88,BTC
2026-03-04 23:00:00,72728.81,BTC
2026-03-04 23:15:00,72564.02,BTC
2026-03-04 23:30:00,72773.48,BTC
2026-03-04 23:45:00,72683.26,BTC
2026-03-05 00:00:00,72721.5,BTC
2026-03-05 00:15:00,72848.02,BTC
2026-03-05 00:30:00,72928.33,BTC
2026-03-05 00:45:00,72782.96,BTC
2026-03-05 01:00:00,73153.61,BTC
2026-03-05 01:15:00,72968.04,BTC
2026-03-05 01:30:00,72674.57,BTC
2026-03-05 01:45:00,72561.21,BTC
2026-03-05 02:00:00,72825.39,BTC
2026-03-05 02:15:00,72730.01,BTC
2026-03-05 02:30:00,72371.53,BTC
2026-03-05 02:45:00,72518.01,BTC
2026-03-05 03:00:00,72639.5,BTC
2026-03-05 03:15:00,72552.7,BTC
2026-03-05 03:30:00,72368.0,BTC
2026-03-05 03:45:00,72516.02,BTC
2026-03-05 04:00:00,72683.52,BTC
2026-03-05 04:15:00,72815.48,BTC
2026-03-05 04:30:00,72936.0,BTC
2026-03-05 04:45:00,72835.98,BTC
2026-03-05 05:00:00,72836.45,BTC
2026-03-05 05:15:00,72495.94,BTC
2026-03-05 05:30:00,72427.22,BTC
2026-03-05 05:45:00,72437.25,BTC
2026-03-05 06:00:00,72163.36,BTC
2026-03-05 06:15:00,72422.39,BTC
2026-03-05 06:30:00,72436.54,BTC
2026-03-05 06:45:00,72563.48,BTC
2026-03-05 07:00:00,72658.63,BTC
2026-03-05 07:15:00,72540.23,BTC
2026-03-05 07:30:00,72204.0,BTC
2026-03-05 07:45:00,72069.81,BTC
2026-03-05 08:00:00,71845.18,BTC
2026-03-05 08:15:00,71848.51,BTC
2026-03-05 08:30:00,72196.41,BTC
2026-03-05 08:45:00,72350.59,BTC
2026-03-05 09:00:00,72633.12,BTC
2026-03-05 09:15:00,72724.0,BTC
2026-03-05 09:30:00,72588.45,BTC
2026-03-05 09:45:00,72618.65,BTC
2026-03-05 10:00:00,72748.38,BTC
2026-03-05 10:15:00,73188.26,BTC
2026-03-05 10:30:00,73322.16,BTC
2026-03-05 10:45:00,73417.14,BTC
2026-03-05 11:00:00,73224.73,BTC
2026-03-05 11:15:00,73149.9,BTC
2026-03-05 11:30:00,72865.05,BTC
2026-03-05 11:45:00,72930.5,BTC
2026-03-05 12:00:00,72961.59,BTC
2026-03-05 12:15:00,72828.1,BTC
2026-03-05 12:30:00,72921.01,BTC
2026-03-05 12:45:00,72903.14,BTC
2026-03-05 13:00:00,72693.72,BTC
2026-03-05 13:15:00,72540.59,BTC
2026-03-05 13:30:00,72536.19,BTC
2026-03-05 13:45:00,72502.07,BTC
2026-03-05 14:00:00,72624.88,BTC
2026-03-05 14:15:00,72572.5,BTC
2026-03-05 14:30:00,72023.96,BTC
2026-03-05 14:45:00,72638.0,BTC
2026-03-05 15:00:00,71806.01,BTC
2026-03-05 15:15:00,71282.49,BTC
